Server Name,Role
avigilon-camAI-client1.lsu.edu,Primary
avigilon-camAI-client10.lsu.edu,Primary
avigilon-camAI-client11.lsu.edu,Primary
avigilon-camAI-client12.lsu.edu,Primary
avigilon-camAI-client13.lsu.edu,Primary
avigilon-camAI-client14.lsu.edu,Primary
avigilon-camAI-client15.lsu.edu,Primary
avigilon-camAI-client16.lsu.edu,Secondary
avigilon-camAI-client17.lsu.edu,Secondary
avigilon-camAI-client18.lsu.edu,Secondary
avigilon-camAI-client19.lsu.edu,Secondary
avigilon-camAI-client2.lsu.edu,Primary
avigilon-camAI-client20.lsu.edu,Secondary
avigilon-camAI-client3.lsu.edu,Primary
avigilon-camAI-client4.lsu.edu,Primary
avigilon-camAI-client5.lsu.edu,Primary
avigilon-camAI-client6.lsu.edu,Primary
avigilon-camAI-client7.lsu.edu,Primary
avigilon-camAI-client8.lsu.edu,Primary
avigilon-camAI-client9.lsu.edu,Primary
