timestamp_utc,key,from_state,to_state,device_name,location
2026-03-10T19:43:32+00:00,00:03:C5:04:A4:5C,Offline (but still visible),Online,MOBOTIX-D12D-IT,None
2026-03-10T19:43:32+00:00,00:18:85:45:90:2E,Offline (but still visible),Online,AFSB - S Wall,Animal Food Science Building
2026-03-10T19:43:32+00:00,00:18:85:45:A0:A1,Online,Offline (but still visible),NGA Garage - 2F East,Nicholson Gateway Garage
2026-03-10T19:43:32+00:00,00:18:85:45:A9:FF,Offline (but still visible),Online,Levee Cam,Levee @ Skip Bertman
2026-03-10T19:43:32+00:00,00:18:85:48:75:69,Online,Offline (but still visible),Blake - E Entrance,Blake Hall
2026-03-10T19:43:32+00:00,00:18:85:49:0B:90,Online,Offline (but still visible),Blake - W Entrance,Blake Hall
2026-03-10T19:43:32+00:00,00:18:85:49:D1:49,Online,Offline (but still visible),Blake - N Entrance,Blake Hall
2026-03-10T19:43:32+00:00,00:18:85:5A:2D:35,Online,Offline (but still visible),Gymnastics - NW Corner,Gymnastics
2026-03-10T19:43:32+00:00,00:18:85:5C:97:1C,Online,Offline (but still visible),P&T - S Stadium at Tower Dr,Parking & Transportation
2026-03-10T19:43:32+00:00,00:18:85:5D:C6:FF,Offline (but still visible),Online,LETC - SE Corner,LETC
2026-03-10T19:43:32+00:00,00:18:85:5D:C7:A1,Offline (but still visible),Online,LETC - NE Corner,LETC
2026-03-10T19:43:32+00:00,00:18:85:5F:27:57,Offline (but still visible),Online,Union - 2F Ballroom,Student Union
2026-03-10T19:43:32+00:00,00:40:8C:DA:C7:11,Online,Offline (but still visible),E Laville - 2F Stair,E Laville Hall
2026-03-10T19:43:32+00:00,00:40:8C:EF:B4:AC,Online,Offline (but still visible),Blake - S Entrance,None
2026-03-10T19:43:32+00:00,1.1.accc8ea1b46d,Offline (but still visible),Online,Riverbend - W Lounge,None
2026-03-10T19:43:32+00:00,AC:CC:8E:A1:B4:30,Online,Offline (but still visible),Canal - Bus Stop,None
2026-03-10T19:43:32+00:00,AC:CC:8E:A1:B4:39,Online,Offline (but still visible),NGA Garage - 4F East (South),Nicholson Gateway Garage
2026-03-10T19:43:32+00:00,AC:CC:8E:A1:EC:60,Online,Offline (but still visible),U-High - C Bldg New Elem West,U-High School
2026-03-10T19:43:32+00:00,AC:CC:8E:A4:3E:19,Online,Offline (but still visible),Oxbow - 3F Elev Lobby,None
2026-03-10T19:43:32+00:00,AC:CC:8E:CC:5E:FC,Online,Offline (but still visible),Evangeline NE Ext,Evangeline Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:CC:5F:78,Online,Offline (but still visible),Evangeline - NE Lobby Front Desk,Evangeline Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:CD:F3:A9,Offline (but still visible),Online,Cedar - 5F Elev Lobby S,Cedar Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:CD:F3:D1,Offline (but still visible),Online,Cedar - 5F Elev Lobby N,Cedar Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:3E:25,Offline (but still visible),Online,FB Ops - All Amer Hall,FB Ops
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:3F:B2,Offline (but still visible),Online,FB Ops - 1st Team SEC,FB Ops
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:40:0C,Offline (but still visible),Online,FB Ops - 2F N Hallway,FB Ops
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:41:A4,Offline (but still visible),Online,FB Ops 2F - Rm 264,FB Ops
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:A4:D3,Offline (but still visible),Online,Cedar - 4F Elev Lobby N,Cedar Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:A5:59,Offline (but still visible),Online,Cedar - 2F Elev Lobby N,Cedar Hall
2026-03-10T19:43:32+00:00,AC:CC:8E:D5:EC:5D,Offline (but still visible),Online,FB Ops 2F - Rm 247,FB Ops
2026-03-10T19:43:32+00:00,AC:CC:8E:F6:3F:68,Offline (but still visible),Online,LETC - Stairwell,LETC
2026-03-10T19:43:32+00:00,AC:CC:8E:FD:7A:0A,Offline (but still visible),Online,Ground Elev Hall - Camera,Highland Hall
2026-03-10T19:43:32+00:00,B8:A4:4F:07:09:BA,Offline (but still visible),Online,LETC - Main Lobby,LETC
2026-03-10T19:43:32+00:00,B8:A4:4F:07:0A:0B,Offline (but still visible),Online,LETC - Interior Loading Dock,LETC
2026-03-10T19:43:32+00:00,B8:A4:4F:3C:72:B9,Online,Offline (but still visible),Camellia - 3F Lounge,Camellia Hall
2026-03-10T19:43:32+00:00,B8:A4:4F:68:2A:C5,Online,Offline (but still visible),Union - 2F Dining 201,None
2026-03-10T19:43:32+00:00,B8:A4:4F:68:61:3F,Online,Offline (but still visible),Ed Gay - Pedestrian Gate / Playground,Ed Gay Apartments
2026-03-10T19:43:32+00:00,B8:A4:4F:68:62:08,Online,Offline (but still visible),Ed Gay - Playground,None
2026-03-11T12:48:45+00:00,00:18:85:48:75:69,Offline (but still visible),Online,Blake - E Entrance,Blake Hall
2026-03-11T12:48:45+00:00,00:18:85:49:0B:90,Offline (but still visible),Online,Blake - W Entrance,Blake Hall
2026-03-11T12:48:45+00:00,00:18:85:49:D1:49,Offline (but still visible),Online,Blake - N Entrance,Blake Hall
2026-03-11T12:48:45+00:00,00:40:8C:EF:B4:AC,Offline (but still visible),Online,Blake - S Entrance,None
2026-03-11T13:15:18+00:00,AC:CC:8E:0B:97:05,Offline (but still visible),Online,Tgr St - S Stadium - Suites 241 S,Tiger Stadium
2026-03-11T13:15:18+00:00,AC:CC:8E:A1:EC:60,Offline (but still visible),Online,U-High - C Bldg New Elem West,U-High School
2026-03-11T13:15:18+00:00,AC:CC:8E:CC:5E:FC,Offline (but still visible),Online,Evangeline NE Ext,Evangeline Hall
2026-03-11T13:15:18+00:00,AC:CC:8E:CC:5F:78,Offline (but still visible),Online,Evangeline - NE Lobby Front Desk,Evangeline Hall
2026-03-11T13:15:18+00:00,B8:A4:4F:28:19:E1,Offline (but still visible),Online,SVM Steph - 2F Tech Lounge,SVM Stephenson Pet Clinic
2026-03-11T13:15:18+00:00,B8:A4:4F:28:56:E0,Offline (but still visible),Online,SVM Steph - 1F S Hall,SVM Stephenson Pet Clinic
2026-03-11T13:15:18+00:00,B8:A4:4F:3C:72:B9,Offline (but still visible),Online,Camellia - 3F Lounge,Camellia Hall
2026-03-11T13:15:18+00:00,B8:A4:4F:3C:75:1E,Offline (but still visible),Online,Azalea - 1F Elev 1 Lobby,Azalea Hall
2026-03-11T13:15:18+00:00,B8:A4:4F:40:FA:8E,Offline (but still visible),Online,Camellia Hall - NW Corner,Camellia Hall
2026-03-11T13:15:18+00:00,B8:A4:4F:68:2A:C5,Offline (but still visible),Online,Union - 2F Dining 201,None
2026-03-11T13:15:18+00:00,B8:A4:4F:68:61:3F,Offline (but still visible),Online,Ed Gay - Pedestrian Gate / Playground,Ed Gay Apartments
2026-03-11T13:15:18+00:00,B8:A4:4F:68:62:08,Offline (but still visible),Online,Ed Gay - Playground,None
2026-03-11T13:17:01+00:00,00:18:85:66:53:CB,Offline (but still visible),Online,HP Long - S Entrance,Huey P Long Fieldhouse
2026-03-11T14:24:42+00:00,00:18:85:4E:BD:EB,Online,Offline (but still visible),Libr - Rear Entry/Exit,Main Library
2026-03-11T14:24:42+00:00,00:18:85:5C:5B:30,Offline (but still visible),Online,U-High - 1F Elem Hall South,U-High School
2026-03-11T14:24:42+00:00,00:18:85:5D:C6:D9,Online,Offline (but still visible),Highland Hall - NE Face,Highland Hall
2026-03-11T14:24:42+00:00,00:18:85:5D:E8:E4,Offline (but still visible),Online,UREC - NGA - NW,NGA UREC
2026-03-11T14:24:42+00:00,00:18:85:66:53:CB,Online,Offline (but still visible),HP Long - S Entrance,Huey P Long Fieldhouse
2026-03-11T14:24:42+00:00,AC:CC:8E:0B:85:57,Offline (but still visible),Online,Tgr St - South Stadium - Section 563,Tiger Stadium - S Stadium
2026-03-11T14:24:42+00:00,AC:CC:8E:68:3F:C1,Online,Offline (but still visible),PFT - SW Exterior,Patrick F Taylor Hall
2026-03-11T14:24:42+00:00,AC:CC:8E:68:40:A4,Offline (but still visible),Online,PFT - E Exterior North,Patrick F Taylor
2026-03-11T14:24:42+00:00,AC:CC:8E:8F:76:CC,Offline (but still visible),Online,UREC - Court 2 Portal,UREC
